"id","disease","code","disease_group_id","disease_group_code","block_code","chapter_id","block_id","level","place_of_class","type_of_code","code_1","code_2","field_11","field_12","field_13","field_14"
"1","Cholera","A00","429","A00","A00","1","1","3","N","X","A00.-","A00","4-002","3-003","2-001","1-002"
"2","Cholera due to Vibrio cholerae 01, biovar cholerae","A00.0","429","A00","A00","1","1","4","T","X","A00.0","A000","4-002","3-003","2-001","1-002"
"3","Cholera due to Vibrio cholerae 01, biovar eltor","A00.1","429","A00","A00","1","1","4","T","X","A00.1","A001","4-002","3-003","2-001","1-002"
"4","Cholera, unspecified","A00.9","429","A00","A00","1","1","4","T","X","A00.9","A009","4-002","3-003","2-001","1-002"
"5","Typhoid and paratyphoid fevers","A01","430","A01","A00","1","2","3","N","X","A01.-","A01","4-002","3-003","2-003","1-004"
"6","Typhoid fever","A01.0","430","A01","A00","1","2","4","T","X","A01.0","A010","4-002","3-003","2-003","1-004"
"7","Paratyphoid fever A","A01.1","430","A01","A00","1","2","4","T","X","A01.1","A011","4-002","3-003","2-003","1-004"
"8","Paratyphoid fever B","A01.2","430","A01","A00","1","2","4","T","X","A01.2","A012","4-002","3-003","2-003","1-004"
"9","Paratyphoid fever C","A01.3","430","A01","A00","1","2","4","T","X","A01.3","A013","4-002","3-003","2-003","1-004"
"10","Paratyphoid fever, unspecified","A01.4","430","A01","A00","1","2","4","T","X","A01.4","A014","4-002","3-003","2-003","1-004"
"11","Other salmonella infections","A02","431","A02","A00","1","6","3","N","X","A02.-","A02","4-002","3-003","2-003","1-004"
"12","Salmonella enteritis","A02.0","431","A02","A00","1","6","4","T","X","A02.0","A020","4-002","3-003","2-003","1-004"
"13","Salmonella sepsis","A02.1","431","A02","A00","1","6","4","T","X","A02.1","A021","4-002","3-003","2-003","1-004"
"14","Localized salmonella infections","A02.2","431","A02","A00","1","6","4","T","X","A02.2","A022","4-002","3-003","2-003","1-004"
"15","Other specified salmonella infections","A02.8","431","A02","A00","1","6","4","T","X","A02.8","A028","4-002","3-003","2-003","1-004"
"16","Salmonella infection, unspecified","A02.9","431","A02","A00","1","6","4","T","X","A02.9","A029","4-002","3-003","2-003","1-004"
"17","Shigellosis","A03","432","A03","A00","1","3","3","N","X","A03.-","A03","4-002","3-003","2-003","1-004"
"18","Shigellosis due to Shigella dysenteriae","A03.0","432","A03","A00","1","3","4","T","X","A03.0","A030","4-002","3-003","2-003","1-004"
"19","Shigellosis due to Shigella flexneri","A03.1","432","A03","A00","1","3","4","T","X","A03.1","A031","4-002","3-003","2-003","1-004"
"20","Shigellosis due to Shigella boydii","A03.2","432","A03","A00","1","3","4","T","X","A03.2","A032","4-002","3-003","2-003","1-004"
"21","Shigellosis due to Shigella sonnei","A03.3","432","A03","A00","1","3","4","T","X","A03.3","A033","4-002","3-003","2-003","1-004"
"22","Other shigellosis","A03.8","432","A03","A00","1","3","4","T","X","A03.8","A038","4-002","3-003","2-003","1-004"
"23","Shigellosis, unspecified","A03.9","432","A03","A00","1","3","4","T","X","A03.9","A039","4-002","3-003","2-003","1-004"
"24","Other bacterial intestinal infections","A04","433","A04","A00","1","6","3","N","X","A04.-","A04","4-002","3-003","2-003","1-004"
"25","Enteropathogenic Escherichia coli infection","A04.0","433","A04","A00","1","6","4","T","X","A04.0","A040","4-002","3-003","2-003","1-004"
"26","Enterotoxigenic Escherichia coli infection","A04.1","433","A04","A00","1","6","4","T","X","A04.1","A041","4-002","3-003","2-003","1-004"
"27","Enteroinvasive Escherichia coli infection","A04.2","433","A04","A00","1","6","4","T","X","A04.2","A042","4-002","3-003","2-003","1-004"
"28","Enterohaemorrhagic Escherichia coli infection","A04.3","433","A04","A00","1","6","4","T","X","A04.3","A043","4-002","3-003","2-003","1-004"
"29","Other intestinal Escherichia coli infections","A04.4","433","A04","A00","1","6","4","T","X","A04.4","A044","4-002","3-003","2-003","1-004"
"30","Campylobacter enteritis","A04.5","433","A04","A00","1","6","4","T","X","A04.5","A045","4-002","3-003","2-003","1-004"
"31","Enteritis due to Yersinia enterocolitica","A04.6","433","A04","A00","1","6","4","T","X","A04.6","A046","4-002","3-003","2-003","1-004"
"32","Enterocolitis due to Clostridium difficile","A04.7","433","A04","A00","1","6","4","T","X","A04.7","A047","4-002","3-003","2-003","1-004"
"33","Other specified bacterial intestinal infections","A04.8","433","A04","A00","1","6","4","T","X","A04.8","A048","4-002","3-003","2-003","1-004"
"34","Bacterial intestinal infection, unspecified","A04.9","433","A04","A00","1","6","4","T","X","A04.9","A049","4-002","3-003","2-003","1-004"
