"id","icd_10_DiseaseID","icd_10_Code","icd_10_Disease","icd_10_DiseaseGroupID","icd_10_DiseaseGroupCode","icd_10_BlockCode","tg_disease_name","tg1","tg2","tg3","tg4"
"24","5323","M01.0","Meningococcal arthritis","1347","M01","M00","GONOCOCCAL ARTHRITIS","DISORDERS OF THE MUSCULOSKELETAL SYSTEM","ACUTE SEPTIC ARTHRITIS","GONOCOCCAL ARTHRITIS","GONOCOCCAL ARTHRITIS"
"26","5326","M01.3","Arthritis in other bacterial diseases classified elsewhere","1347","M01","M00","NON-GONOCOCCAL ARTHRITIS","DISORDERS OF THE MUSCULOSKELETAL SYSTEM","ACUTE SEPTIC ARTHRITIS","NON-GONOCOCCAL ARTHRITIS","NON-GONOCOCCAL ARTHRITIS"
"27","5367","M08.0","Juvenile rheumatoid arthritis","1353","M08","M05","JUVENILE RHEUMATOID ARTHRITIS","DISORDERS OF THE MUSCULOSKELETAL SYSTEM","JUVENILE RHEUMATOID ARTHRITIS","JUVENILE RHEUMATOID ARTHRITIS","JUVENILE RHEUMATOID ARTHRITIS"
"28","5655","M54.5","Low back pain","1390","M54","M50","LOW BACK PAIN","DISORDERS OF THE MUSCULOSKELETAL SYSTEM","LOW BACK PAIN","LOW BACK PAIN","LOW BACK PAIN"
"29","5403","M13.8","Other specified arthritis","1358","M13","M05","OSTEOARTHRITIS","DISORDERS OF THE MUSCULOSKELETAL SYSTEM","OSTEOARTHRITIS","OSTEOARTHRITIS","OSTEOARTHRITIS"
"30","5837","M86","Osteomyelitis","1413","M86","M86","OSTEOMYELITIS","DISORDERS OF THE MUSCULOSKELETAL SYSTEM","OSTEOMYELITIS","OSTEOMYELITIS","OSTEOMYELITIS"
"31","5357","M06.9","Rheumatoid arthritis, unspecified","1351","M06","M05","RHEUMATOID ARTHRITIS","DISORDERS OF THE MUSCULOSKELETAL SYSTEM","RHEUMATOID ARTHRITIS","RHEUMATOID ARTHRITIS","RHEUMATOID ARTHRITIS"
"32","5530","M32","Systemic lupus erythematosus","1373","M32","M30","SYSTEMIC LUPUS ERYTHEMATOSUS","DISORDERS OF THE MUSCULOSKELETAL SYSTEM","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS","SYSTEMIC LUPUS ERYTHEMATOSUS"
"33","4531","K12.2","Cellulitis and abscess of mouth","1215","K12","K00","DENTAL ABSCESS","ORAL AND DENTAL CONDITIONS","DENTAL ABSCESS","DENTAL ABSCESS","DENTAL ABSCESS"
"34","4443","K02","Dental caries","1205","K02","K00","DENTAL CARIES","ORAL AND DENTAL CONDITIONS","DENTAL CARIES","DENTAL CARIES","DENTAL CARIES"
"35","4473","K05","Gingivitis and periodontal diseases","1208","K05","K00","GINGIVITIS AND STOMATITIS","ORAL AND DENTAL CONDITIONS","GINGIVITIS AND STOMATITIS","GINGIVITIS AND STOMATITIS","GINGIVITIS AND STOMATITIS"
"36","629","B37.8","Candidiasis of other sites","543","B37","B35","ORAL THRUSH (CANDIDIASIS)","ORAL AND DENTAL CONDITIONS","ORAL THRUSH (CANDIDIASIS)","ORAL THRUSH (CANDIDIASIS)","ORAL THRUSH (CANDIDIASIS)"
"37","3582","H65.0","Acute serous otitis media","1041","H65","H65","ACUTE OTITIS MEDIA","EAR, NOSE AND THROAT DISORDERS ","ACUTE OTITIS MEDIA","ACUTE OTITIS MEDIA","ACUTE OTITIS MEDIA"
"38","4151","J01","Acute sinusitis","1140","J01","J00","ACUTE SINUSITIS","EAR, NOSE AND THROAT DISORDERS ","ACUTE SINUSITIS","ACUTE SINUSITIS","ACUTE SINUSITIS"
"39","3584","H65.2","Chronic serous otitis media","1041","H65","H65","CHRONIC OTITIS MEDIA","EAR, NOSE AND THROAT DISORDERS ","CHRONIC OTITIS MEDIA","CHRONIC OTITIS MEDIA","CHRONIC OTITIS MEDIA"
"40","8051","R04.0","Epistaxis","419","R04","R00","EPISTAXIS","EAR, NOSE AND THROAT DISORDERS ","EPISTAXIS","EPISTAXIS","EPISTAXIS"
"41","4163","J03","Acute tonsillitis","1142","J03","J00","PHARYNGITIS AND TONSILLITIS","EAR, NOSE AND THROAT DISORDERS ","PHARYNGITIS AND TONSILLITIS","PHARYNGITIS AND TONSILLITIS","PHARYNGITIS AND TONSILLITIS"
"42","4289","J39.0","Retropharyngeal and parapharyngeal abscess","1168","J39","J30","RETROPHARYNGEAL ABSCESS","EAR, NOSE AND THROAT DISORDERS ","RETROPHARYNGEAL ABSCESS","RETROPHARYNGEAL ABSCESS","RETROPHARYNGEAL ABSCESS"
"43","4173","J05.1","Acute epiglottitis","1144","J05","J00","ACUTE EPIGLOTTITIS","EAR, NOSE AND THROAT DISORDERS ","STRIDOR","ACUTE EPIGLOTTITIS","ACUTE EPIGLOTTITIS"
"45","8059","R06.1","Stridor","421","R06","R00","STRIDOR","EAR, NOSE AND THROAT DISORDERS ","STRIDOR","STRIDOR","STRIDOR"
"46","4172","J05.0","Acute obstructive laryngitis [croup]","1144","J05","J00","SUBGLOTTITIS (VIRAL CROUP OR LARYNGOTRACHEOBRONCHITIS)","EAR, NOSE AND THROAT DISORDERS ","STRIDOR","SUBGLOTTITIS (VIRAL CROUP OR LARYNGOTRACHEOBRONCHITIS)","SUBGLOTTITIS (VIRAL CROUP OR LARYNGOTRACHEOBRONCHITIS)"
"47","3381","H26","Other cataract","1010","H26","H25","CATARACT","EYE DISORDERS","CATARACT","CATARACT","CATARACT"
"48","3298","H10","Conjunctivitis","998","H10","H10","CONJUNCTIVITIS","EYE DISORDERS","CONJUNCTIVITIS","CONJUNCTIVITIS","CONJUNCTIVITIS"
"49","351","A71","Trachoma","490","A71","A70","TRACHOMA","EYE DISORDERS","CONJUNCTIVITIS","TRACHOMA","TRACHOMA"
"50","9235","T15.0","Foreign body in cornea","258","T15","T15","FOREIGN BODY IN THE EYE","EYE DISORDERS","FOREIGN BODY IN THE EYE","FOREIGN BODY IN THE EYE","FOREIGN BODY IN THE EYE"
"51","3443","H40","Glaucoma","1020","H40","H40","GLAUCOMA","EYE DISORDERS","GLAUCOMA","GLAUCOMA","GLAUCOMA"
"52","7152","P39.1","Neonatal conjunctivitis and dacryocystitis","13","P39","P35","OPHTHALMIA NEONATORUM","EYE DISORDERS","OPHTHALMIA NEONATORUM","OPHTHALMIA NEONATORUM","OPHTHALMIA NEONATORUM"
"53","2202","E50.6","Vitamin A deficiency with xerophthalmic scars of cornea","809","E50","E50","XEROPHTHALMIA","EYE DISORDERS","XEROPHTHALMIA","XEROPHTHALMIA","XEROPHTHALMIA"
"54","8224","R50.9","Fever, unspecified","97","R50","R50","FEVER","INFECTIOUS DISEASES AND INFESTATIONS","FEVER","FEVER","FEVER"
"57","6924","O98","Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","48","O98","O94","MALARIA IN PREGNANCY","INFECTIOUS DISEASES AND INFESTATIONS","MALARIA","MALARIA IN PREGNANCY","MALARIA IN PREGNANCY"
